data,evento,eixo,status,fonte_nota
2019,"Vorcaro assume controle do Banco Máxima","Banco Master","documentado","1"
2022,"Banco é rebatizado como Banco Master","Banco Master","documentado","1"
2022-10,"Nikolas Ferreira usa aeronave ligada a Vorcaro em campanha pró-Bolsonaro","Bolsonarismo","documentado/versões sobre custeio divergem","20-21"
2022,"Fabiano Zettel doa R$ 3 mi a Bolsonaro e R$ 2 mi a Tarcísio","Bolsonarismo","doação eleitoral declarada","19"
2023-11/2024-01,"Estrutura contratual de Dark Horse; Eduardo assina como produtor-executivo","Dark Horse","documentado","23"
2023-12/2024-01,"Aproximação Vorcaro-Moraes e contrato com escritório da esposa","Judiciário","documentado; efeitos sob investigação","39-41"
2024-08-13,"Ciro Nogueira apresenta emenda para elevar cobertura do FGC a R$ 1 mi","Congresso/Centrão","documentado; autoria material investigada","35-38"
2024-12-04,"Lula recebe Vorcaro fora da agenda, levado por Guido Mantega","PT/Governo Lula","documentado; sem contrapartida ilícita pública demonstrada","11-13"
2024-12-08/11,"Flávio e Mario Frias articulam apoio de Vorcaro a Dark Horse","Dark Horse","documentado por mensagens/reportagens","24"
2025-01,"Vorcaro passa a priorizar pagamentos do filme","Dark Horse","documentado por mensagens","25"
2025-02/05,"US$ 10,6 mi chegam ao Havengate","Dark Horse","documentado","24"
2025-03-28,"BRB anuncia compra de 58% do Master","BRB","documentado","5"
2025-09-03,"Banco Central veta aquisição do Master pelo BRB","BRB","documentado","8"
2025-09-08,"Flávio cobra Vorcaro por atraso nos pagamentos de Dark Horse","Dark Horse","documentado por áudio/reportagem","24"
2025-09-16,"Coaf registra nova parcela de US$ 1,666 mi","Dark Horse","documentado em relatório noticiado","30"
2025-10-22,"Mensagem pede liberação de novas parcelas do filme","Dark Horse","indício de continuidade","30"
2025-11-16,"Flávio chama Vorcaro de 'irmão' na véspera da prisão","Dark Horse","documentado por mensagens/reportagem","24"
2025-11-17,"Vorcaro é preso","Compliance Zero","documentado","3"
2025-11-18,"Banco Central liquida o Master","Banco Master","documentado","3"
2026-05,"PF mira Ciro e sustenta que emenda do FGC foi redigida pelo Master","Congresso/Centrão","investigação em curso","36-38"
2026-06/08,"PF aprofunda investigação sobre Jaques Wagner e Dark Horse","PT/Dark Horse","investigação em curso","16-18,29"
2026-09-01/03,"Novos relatórios sobre Moraes; Coaf amplia total de Dark Horse; PGR firma delação com Mineiro","Judiciário/Dark Horse","investigações e colaboração em curso","27,30,39-41"
